id,gp,minutes,pts,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
Kareem Abdul-jabbar,1560,57446,38387,17440,5660,1160,3189,2527,4657,28307,15837,9304,6712,18,1
Shareef Abdur-rahim,830,28883,15028,6239,2109,820,638,2136,2324,11515,5434,4943,4006,519,154
Alvan Adams,988,27203,13910,6937,4012,1289,808,2194,3214,11464,5709,3160,2490,15,2
Mark Aguirre,923,27730,18458,4578,2871,687,296,2306,2599,14865,7201,4944,3664,1258,392
Danny Ainge,1042,27755,11964,2768,4199,1133,132,1566,2549,9905,4643,1980,1676,2651,1002
Ray Allen,942,35095,19661,4180,3544,1139,172,2207,2202,15319,6865,4068,3632,5776,2299
Kenny Anderson,858,25870,10789,2641,5196,1259,112,1768,1974,9512,4002,2833,2238,1580,547
Nick Anderson,800,24922,11529,4063,2087,1114,364,1358,1502,9891,4416,2461,1642,2964,1055
Carmelo Anthony,445,16106,10768,2731,1367,503,198,1374,1335,8408,3864,3433,2731,1007,309
Nate Archibald,876,31159,16481,2046,6476,719,81,1123,2002,12628,5899,5760,4664,85,19
Paul Arizin,713,24897,16266,6129,1665,0,0,0,2764,13354,5628,6189,5010,0,0
Thurl Bailey,928,24873,11834,4718,1298,435,1086,1444,1843,10056,4753,2863,2324,35,4
Vin Baker,791,25737,11839,5867,1508,582,797,1756,2561,9675,4692,3787,2416,181,39
Charles Barkley,1073,39330,23757,12546,4215,1648,888,3376,3287,15605,8435,8643,6349,2020,538
Dick Barnett,971,28937,15358,2812,2729,1,0,0,2514,13227,6034,4324,3290,0,0
Rick Barry,794,28825,18395,5168,4017,1104,269,574,2264,16163,7252,4243,3818,221,73
Elgin Baylor,846,33863,23149,11463,3650,0,0,0,2596,20171,8693,7391,5763,0,0
Walt Bellamy,1043,38940,20941,14241,2544,52,48,0,3536,15340,7914,8088,5113,0,0
Mike Bibby,801,28919,13177,2665,4862,1034,134,1923,1554,11068,4859,2794,2248,3243,1211
Chauncey Billups,837,26882,12614,2464,4669,869,140,1695,1780,9219,3838,3943,3506,3692,1432
Dave Bing,901,32769,18327,3420,5397,483,89,216,2615,15769,6962,5683,4403,0,0
Larry Bird,897,34443,21791,8974,5695,1556,755,2816,2279,17334,8591,4471,3960,1727,649
Otis Birdsong,696,21627,12544,2072,2260,858,143,1491,1783,10562,5347,2748,1801,179,49
Rolando Blackman,980,32087,17623,3278,2981,715,274,1829,1634,13969,6887,4309,3620,667,229
Mookie Blaylock,889,31026,11962,3659,5972,2073,300,2067,1687,11499,4705,1724,1269,3816,1283
Ron Boone,662,21596,12153,3302,2569,403,71,1773,2245,10101,4695,3179,2640,415,123
Bob Boozer,874,25549,12964,7119,1237,0,0,0,2489,10738,4961,3998,3042,0,0
